Text,Classification
contentsettings bubble ui not disabled when content settings are managed by policies or extensions,1
changing third party cookie blocking behavior prevent reading as well as setting,1
extensions managed content settings exceptions should marked accordingly in ui,1
reporting mis detected languages exposes https urls over http,1
session only content setting should apply extension requests,1
disable third party cookie experiment on m16 branch,1
do filesystems resepect third party blocking rules,1
content setting patterns dont support wildcards in file urls,1
replace remove all methods return |contentsetting|s with methods return |value|s,1
support for context sensitive secondary content settings pattern allows match primary pattern,1
contentsettingspattern should support filesystem urls,1
create better auto generated content setting exceptions,1
remove unused content types from contentsettings struct,1
dcheck in content settings prefprovider updateobsoletegeolocationpref,1
geolocation whitelisted for extensions,1
choosing always allow from cookie dialog reached via icon in url bar fails add exclusion,1
don t apply delete on shutdown rules when auto restarts,1
persist post data of navigation history when auto restarts or crashes,1
127 0 0 1 shouldnt valid content settings pattern,1
merge prefs kcontentsettingspatternpairs on sync,1
cookie site data exceptions doesnt work on incognito window,1
no entry for default content settings should not added list of incognito content settings exceptions,1
clearing saved http auth storage,1
clearing cache also clears application data,1
history removed history entry still appears in omnibox results,1
context menu on password field should not have search options,1
content exceptions added by omnibox dialog may not take effect due existing exceptions,1
`browsingdata` api should allow additional filtering options,1
browsingdata extension api should support origin based deletion,1
cant set cookies while private browsing cookies are globally disabled,1
add website settings ui behind flag,1
reset uma client id when user opts out of uma,1
browsingdataremover enable origin based deletion for history,1
browsingdataremover enable origin based deletion for quota managed data,1
browsingdataremover enable origin based deletion for cache,1
browsingdataremover enable origin based deletion for downloads,1
browsingdataremover enable origin based deletion for localstorage,1
browsingdataremover enable origin based deletion for plugin data,1
browsingdataremover enable origin based deletion for passwords,1
cookie store of safebrowsing should cleared with browser data,1
chromium allowing unauthorized local storage,1
add clear app data clear browsing data,1
typos in privacy api documentation,1
always allowed in plugins should whitelist for security infobars,1
extension quota based storage shouldnt show up in cookies site data list,1
extensions resources can fetched across incognito,1
audit of urlfetchers respect content settings for cookies,1
ensure google util methods are not used where strong authenticity requirements are necessary,1
remove obsolete unused legacy preferences kpopupwhitelistedhosts kperhostcontentsettigns,1
devtools data shows up in cookies site data,1
spelling service option should available via `chrome privacy`,1
expiring deleting single history item failed delete,1
storage quota issues queryusageandquota does not show 0 after clearing cache,1
regression cant delete individual cookies,1
dns prefetching leaks dns queries when using proxy,1
instant may leak uma opt in state via url,1
says site has no cookies even though there are cookies on page,1
leaks url information when using incognito window,1
all notification settings are cleared after browser restart,1
add link cws app details page apps context menu on ntp,1
keep local data only until i quit my browser should clear cookies even if continue where i left off set,1
incognito split mode extension hosts cause incognito profile never destroyed,1
webrequest onbeforerequest doesnt intercept websocket requests,1
server bound certificates installed for 3rd party sites while blocking 3rd party cookies on,1
app extends should displayed in cookies content settings exception editor,1
integrate flash lsos into settings cookies,1
integrate flash storage settings with content settings,1
have 3rd party cookie blocking override other rules,1
third party cookie blocking page action opt back in seems broken,1
databases filesystems not being removed after using clear browsing data dialog,1
clear browsing data clearing some cookies data even when delete cookies unchecked,1
implement website settings bubble on mac behind flag,1
print preview should able print via cloud print even with third party cookies blocked,1
add visual indicators cookies dialog for local storage belongs protected origins,1
per host zoom levels not cleared with browser history,1
dns prefetching never deleted leaking user visit data,1
google dev would like access your contacts dialog on 10 8 when submitting form,1
extension resources should only loadable in contexts extension has permission access,1
cookies are not deleted when site data cleared,1
test websitesettingstest showinfobar has memory leak,1
implement website settings popup on linux gtk,1
local storage data not being removed when clearing browsing data,1
disable website settings on windows by default,1
flash camera microphone manage exceptions leaks website history,1
browser crash ash internal webnotificationcontentsview update,1
does not gracefully recover from broken cookies sqlite database,1
locks crashes when programatically adding large block list via contentsettings api,1
doesnt delete cookies after browser was closed,1
content settings feature test case review for feasible browser test coverage,1
website settings ui should auto select connection tab in case of https error or mixed content,1
website settings popup crashes when setting changed,1
on linux website settings ui does not display correct permission icon if default setting block,1
on linux website settings ui does not display managed permissions,1
clear browsing data never completes with ppapi flash plugin disabled,1
clear browsing data does not remove segments for bookmarked pages,1
issues with exceptions settings page for location settings,1
add third party cookie blocking control,1
arrow of dropdown button on website settings ui not displayed on linux ubuntu precise pangolin,1
website settings bubble identity tab can cut off,1
improve appearance of websites settings bubble on gtk,1
browser tests for dnt settings,1
bookmarks has bogus website settings popup,1
make permissions dropdowns on website settings ui focusable via tab,1
clear browsing data does not clear http server properties,1
tabs executescript raises unknown error when invoked on incognito tab,1
show protected storage tooltip on hovering over storage element in settings cookies,1
mail google com google com not being cleared on browser exit,1
crashes when website settings ui opened on sites for which media content settings exception was set,1
dnt help url 404,1
collectedcookiesdialog displays cookie duplicates,1
blocked flash lso access should reported,1
show google now notifications in,1
still go back previous page after clearing history,1
translate should load resources over https even if original page loaded via http,1
clear browsing data does not close any open sockets used channel ids being deleted,1
1993 should fall back offline mode when suggestions are off,1
allow deleting cookies from collected cookies dialog,1
all buttons open clear browsing data dialog should use same label,1
on clear browsing data dialog swap position of emtpy cache delete cookie checkboxes,1
prompt enterprise users create new profile at signin time,1
incognito windows should clear clipboard upon destruction,1
security post data sent wrong page after refresh on 500 internal server error redirection target page,1
do not import dummy file history entires from ie on first run,1
searches in incognito are accessible in normal tab,1
add preference policy disable clearing browser history,1
push messaging documentation regarding privacy,1
if you pin profile shortcut taskbar wont get deleted on profile deletion,1
removing data for hosted apps in settings cookies doesnt update display,1
nan,1
search not working fine in search cookies,1
fr smart third party cookies 3rd party blocked from setting cookies unless already has cookies,1
ibus mozc no way delete input history,1
unable login google apps if block sites from setting any data set google added exceptions,1
instant extended doesnt work when js images are blocked,1
provide sample content settings pattern in content settings exceptions dialog,1
tab running in incognito shows just as tab in task manager,1
removing profiles can lead local data remaining despite message saying reverse,1
french privacy page broken when navigated from arabic page,1
bring back old incognito clipboard behavior,1
dcheck when creating allow exception for popups on about blank,1
s condescending accusatory messages should removed,1
open in incognito window doesnt work in panel,1
plug in settings click play vs block all confusion,1
extensionbrowsingdatatest browsingdataremovalmask flaky,1
autofill data comes back from dead after local clear,1
cookie deletion on behalf of user request shouldnt return until deletion has been syncd on disk cookie store,1
history day headers are displayed after history entries are removed,1
update first party for cookie url during redirect chains for main resource loads in all code paths,1
safari import dialog needs gray bar explaining keychain,1
session exceptions for default blocked cookies,1
client certificate selections in android not preserved on browser restart,1
correctly handle incognito mode checkbox for proxy extension api,1
shows logged in content even after logging out,1
never save browser history policy not taking effect,1
client platform information sent unencrypted google update service,1
flash webcam capture does not activate tab recording indicator,1
ime should not learn when typing into incognito mode window,1
clearing browser data for last hour doesnt nuke corresponding local search history terms,1
new inline sign in cross account sync detection failed,1
rulesregistry make sure has declarative rules gets cleaned after extension uninstalled,1
incognito cookies make their way into non incognito cookie space when using https everywhere extension,1
deleting individual items from history ui fails if items are in archived history file,1
delete precache history when browsing history deleted,1
sdch support may used track user,1
website settings popup doesnt appear,1
files app open quickoffice files in normal profile instead of incognito,1
feedback app window couldnt scrolled see all options when page zoom set maximum,1
online spellchecking information prompt,1
logging out of google browser,1
requests from within flash npapi arent handled by webrequest onbeforerequest anymore,1
google webrtc ip address leakage,1
combine predictive technologies under single option,1
security psl does not prevent wildcard cookies,1
remove button still enabled after removing all cookies entries on cookies site data window,1
review permission messages for bluetooth api,1
collect per device frequency of kernel crashes,1
original incognito window spy avatar gets replaced by user profile avatar,1
passwords associated with profile arent deleted when you delete profile,1
connect from incognito dialog confusing,1
deleting urls from history page should ensure shortcuts db updated,1
content settings use whitelist not blacklist for allow all cases,1
page cannot loaded via data compression proxy on 10 x x x page,1
change text for warning about open application from incognito,1
verified access learn more link broken,1
unable disable automatically send usage statistics crash google for 1st time sign in,1
net export cant strip private data,1
settings privacy introductory text implies all options concern web services,1
settings privacy ui flow less than optimal information hidden in popups,1
not obvious how disable exceptions notification policy for e g google origins inconsistent permissions ux,1
autofill autocomplete popup should only displayed after usergesture,1
consider clearing cache when clearing cookies,1
data doesnt get save in manage autofill settings section in guest mode of browser,1
geolocation permission remembered on http site,1
no place see component extensions,1
security uaf in notifyanddeleteifdone browser process crash related websql transactions in web worker,1
guid like string added `navigator useragent` on ios,1
ime api should support password field for on screen keyboard scenario,1
page cookies window size editability,1
eliminate archived history database,1
drive missing in file open save dialog in incognito mode,1
eavesdrop on user speech abusing old speech api,1
cleanup extension permission strings,1
remove all cookie button ambiguous,1
show permission warning for favicon less frequently,1
do not offer sign in using google profile when opening google property in incognito mode on android,1
need unittest for browsingdataremover networking history clear,1
do not show hotword optin bubble in incognito,1
profile avatar icon with grey background seen on taskbar icon,1
no infobar prompt for https after clearing media exceptions,1
make sdch dictionaries per profile,1
sends user credentials with preflighed cors request,1
when we turn crash reporting on off by checking unchecking automatically send usage statistics crash reports google doesnt take immediate effect needs browser exit relaunch,1
history api search sole method returns results from archived database,1
javascript can detect visited links via css nested + getclientrects height osx,1
historyquickprovider deletematch should delete underlying history item as well,1
add option remove history items for specific site,1
new tab most visited seems sync even if history bookmark sync disabled,1
devtools browser crashes due dcheck failed in devtools network controller,1
google not clearing account data properly,1
improper on startup execution,1
call `chrome history deleteurl` does not affect synced history,1
x devtools emulate network conditions client id should not sent network,1
microphone access not blocked if you lock your phone,1
64bit canary on 64bit system reports itself as 32bit system,1
prevent users from deleting browser history,1
history wont delete,1
exceptions for notifications settings for websites cannot deleted,1
last launched date not cleared with browser history,1
app icons gets vanished from app launcher after disconnecting account,1
resource prefetching for mobile web do not record anything in persistent storage while in incognito mode,1
extensions not exempt from plugin content settings,1
red dot indicator of tab recording missing for voice search from ntp,1
disable password manager by default in public sessions kiosk,1
remove data reduction proxy enabled pref for incognito mode,1
user manager should have empty disabled history bookmarks menus on mac,1
about incognito text missing in incognito session,1
failing sw registration should advertised in blocked tab of show cookies other site data panel,1
accelerometer gyroscope leak keystrokes speech,1
infobar reload removal indicates permission for last gum request instead of collectively in use permissions,1
session only cookies do not work as intended when background mode enabled session only exceptions are additionally needed,1
new webnavigation tabs permission warning too broad,1
platform apps arent available in incognito but ui doesnt explain why,1
change incognito substring match android,1
cached favicons are kept even after clearing cache,1
incognito prompt connect app should only occur when app listening for external connections,1
if your first download for session happens in incognito window your next normal download default wherever file was saved,1
scoping inconsistencies in content settings make hard build ui,1
content settings iframe behavior may not expected,1
in guest mode previous download entries are shown in downloads,1
guest mode keeps session cookies after exit guest mode pressed,1
non incognito background pages should not run on login screen,1
deleting urls from history has no effect on topsites,1
clearing sites content in settings does not clear its persistent cookies as does on desktop,1
need clarify behavior when deleting synced datatypes,1
add `chrome privacy services hotwordsearchenabled`,1
add `chrome privacy services safebrowsingextendedreportingenabled`,1
cookie site data exceptions should sorted alphabetically,1
credential management notifysignedout isnt wired up,1
credential management incognito behavior,1
credential management blacklisted sites,1
only report network information for managed kiosk sessions,1
extensions can access webcam forever after one time request,1
extensions allowed in incognito seen inside chevron for already opened incognito window,1
add `chrome privacy services donottrackenabled`,1
ui broken when blocking media stuff,1
investigate why incognito notification doesnt always disappear after using close all incognito tabs,1
iframe google canary does not recognise allow but only recognise block,1
app banner make content settings not sync,1
creating option directly control multiple routes for webrtc,1
allow webrtc multiple routes disabled,1
ask by default option not setting properly for fullscreen permissions,1
improve content settings permission string,1
add controlled settings indicators where missing in settings ui,1
no way pass referrer data through intent google play,1
incognito windows sometimes have state if another incognito window was open,1
user cannot remove cookies from webview,1
add new permissions flow for usb devices supported by printerprovider app,1
improve externally connectable permission message,1
specifically allowing images for site using page icon doesnt work in some cases,1
fix location settings ui on android when set allow by policy,1
web midi permissions api handles sysex permissions from non secure origin differently,1
privacy issue with safe browsing,1
revoking camera microphone permissions from origin info bubble does not work as expected,1
desktopcapture api always asks for permission,1
support detect important content setting for contentsettings plugins,1
security omnibox data privacy leak mitm vulnerability,1
make location allowed link reflect geo header submission,1
websites with notification permission can detect incognito,1
only one file string can added list of exceptions for content type,1
prefs kallowdeletingbrowserhistory dcheck thrown when deleting profile,1
backgroundsync ensure registrations are cleared when history data cleared,1
default website permissions are missing from page info,1
while using proxie using browser theres ip dns leak trough webrtc service,1
dont suggest incognito mode if its not available,1
information disclosure due incomplete clean up of localstorage clean or localstorage removeitem function,1
change sign in confirmation screen,1
change sign in call action string,1
contentsetting set with scope incognito session only not correctly applying settings opened incognito tabs,1
change sign in confirmation screen,1
change sign in confirmation screen,1
content setting bubble string inconsistencies,1
when using proxy webrtc leaks unproxied ip address even with multiple routes disabled,1
metrics for extension uninstalls,1
add data type counts profile deletion flow,1
recently closed tabs visible on deleted history items,1
search engine picker dialog shows incorrect domain,1
inadvertently includes supercookie via dtls cert information,1
add metrics for deletion of cookies cache,1
manage media settings link navigate settings contentexceptions which should not case,1
saved passwords never saved urls under save passwords disappear when save passwords off,1
cache cookies on clear browsing data,1
should fullscreen blockable by user,1
componentize cookieoscryptodelegate,1
stop encrypting cookies on ios,1
manage microphone settings button cropped in permission bubble in omnibox,1
update privacy settings material design,1
add option disable webrtc,1
disable media router in incognito mode,1
usage crash reports switch doesnt show selected option,1
database storage local storage data not recognizing was deleted screencast included,1
empty bullet point on untrusted certificate error,1
incognito badge missing on os browser frame,1
let users understand when they are managed,1
improve metrics for deletion of cookies cache,1
investigate clearing of passwords,1
enable toggling of notifications permission in settings on desktop,1
enable saml sso auth for apps,1
add some safe browsing ext reporting text back whitepaper,1
improve support string in cbd dialog,1
screen sharing displays wrong window in picker,1
test all website settings are cleared by profile resetter,1
pressing notification should open site standalone if was added users home screen with display set standalone,1
browser history sniffing attack using hsts + csp,1
access url on tabs without tabs permission by extensions,1
improve history counter sync test,1
search transferred non google,1
audio output fails switch with system without restart,1
clear browsing data cache counter crash,1
count only unique values of suggestions in autofillcounter,1
with site per process very badssl com gets wrong lock icon websitesettings strings,1
bluetooth enterprise policy,1
cannot choose not sync extension app,1
show which datatypes are synced in cbd dialog,1
reset settings doesnt reset most settings,1
site info dialog shows extension pages as secure,1
add data volume counters android,1
add link feedback report when we detect display doesnt work,1
last launch from homescreen time should cleared on android when users clear their history,1
fullscreen permissions in guest mode are saved disk,1
improve public session user separation with idle time logout,1
make permission inheritance behavior in incognito mode consistent,1
random mac address support,1
chooser based permissions should not inherited by incognito profiles,1
add privacy message usb device chooser,1
extension install prompt doesnt list notification permission for non hosted apps,1
replace url origin parameter by filter predicate in origin based deletion for password stores,1
consolidate time period options in cbd dialog,1
difficult understand external protocol warning when leaving incognito mode,1
incognito window looks like regular window if you have theme,1
fine print in feedback ui hard read,1
give way clear history for particular day in edit mode,1
clear auto sign in state along with browsing data,1
eme permission not shown in page info on os android,1
add notice about other forms of browsing history cbd dialog,1
replace icons with overflow menu in manage certificates,1
system missing disabled states,1
privacy sync indicator on site settings,1
missing dialogs from mocks,1
edit certificates dialog missing,1
md history appears in incognito mode,1
updating clank onboarding,1
add piece of ui for deleting saved text suggestions,1
drop password manager reauthentication flag,1
verify code for showing cookie exceptions works on android,1
add cookie jar mismatch state sync commit messages,1
clearing browser history should remove engagement with respect recency,1
zombie cookies cant deleted through cookies site data ui,1
android keyboard suggestions leak information typed in incognito window,1
contentsettingspattern compare weird w wildcard domains,1
doesnt remove temp files from cloudprint print jobs,1
pinned tls public keys hpkp evicted after clearing cache,1
clear browsing data does not clear history,1
set last updated time last shortcut launch time time of latest remaining visit in history for origin,1
hide disable specific settings in guest mode,1
dont sync content settings mobile which arent used there,1
cannot clear cached sessionstorage when no backing on disk,1
settings clearbrowserdata does not remove all plug in data,1
clear browsing data help page wrong,1
add metrics for notices about other forms of browsing history,1
failure of delete user history in android,1
removing history item does not impact recently closed jumplist,1
msi doesnt honor settings help make google better by automatically sending usage statistics crash reports google when selected on downloadpage eula,1
save page later menu item should check if feature enabled for given tab,1
site settings missing site settings,1
update ios callsite of shouldpopupdialogaboutotherformsofbrowsinghistory,1
add antivirus information system profile,1
incognito icon seen missing in 53 0 2749 3 8376 0 0,1
security pdf in iframes bypass warning dialog on android,1
security timing attack on denormalized floating point arithmetic in svg filters circumvents same origin policy,1
android restore should restore sync preferences,1
reload page prompt not shown after blocking microphone camera access,1
allow android users open links from apps in incognito mode,1
http authentication credentials are printed in footer when specified in uri,1
able bypass permission prompt on keypress,1
componentize browsing data counters,1
add browsing data counters ios,1
settings clearbrowserdata does not show clear browsing data subpage,1
stop syncing preferences on android if they are not meant synced,1
screen curtin for privacy black out screen for privacy,1
disable all extensions on certain domain names sites,1
browser history sniffing via hsts + csp bypass previous fix,1
android google chome history select beginning of time clear history does not do anything works if you select small date range,1
ensure task exclusion in browsingdataremover,1
cookies content settings behaving unexpectedly after migration,1
need able search for cookies delete,1
security overzealous password autocomplete unmasks incognito users,1
remove card verified message from paymentrequest cvc prompt,1
security ping attribute in href not following spec leads information disclosure,1
privacy cookies configured cleared are not cleared on system shutdown only on quit,1
hide for now not removing device from list until page refreshed,1
remove from history option does not work when one history present on history page,1
update security interstitial privacy policy links,1
add time scoped deletion for browsing data on ios,1
history entry still seen checked even on selecting remove from history option,1
disabling stream should turn off camera,1
extended reporting privacy policy link doesnt work on captive portal interstitials,1
unable block cookies,1
cookies were kept after restart,1
make noauth local webserver default option for privacy review shepherding scripts,1
for android now briefly flashing previously closed tab snapshot upon opening,1
open tabs from other devices are synced even after disabling open tabs in sync settings,1
md settings cant tell there are additional browsing data categories,1
site settings android remove site data prompt warns about removing too many things,1
site settings android fullscreen subpage looks broken,1
md settings site data removal dialog unlike md rest of has script errors,1
need communicate more clearly does not delete downloaded files,1
open up logprivate apps running in kiosk,1
restart option not seen on checking unchecking automatically send usage statistics crash reports google option in md settings,1
implement annotations for network requests,1
show only non factory default sourced permissions in pageinfo,1
credential manager api should suppressed for prerendered pages,1
file download location from incognito remembered out of incognito,1
incognito bookmarks shouldnt appear on recent bookmarks,1
pattern with wildcards shown incorrectly in content settings,1
location icon does not stay in omnibox after clicking on allow in permission bubble,1
predictors database cannot cleared by clearing browsing data until after restart,1
settings privacy hc should link whitepaper,1
privacy new tab can show private sensitive data via thumbs,1
improve cbd cache counter,1
add way list extensions currently using power api,1
android keeps incognito cookie jar around when tabs are closed if cct open,1
accessing site settings from specific setting control panel shows incomplete data,1
browsing data entries are not getting updated in md settings clearbrowserdata untill page not refreshed,1
browsing data removal too aggresive for bookmark visits,1
android missing ui for displaying when site settings are ignoring content,1
make location setting of default search engine origin same as location setting for omnibox searches,1
implement cookies site data counter,1
md settings textbox keyboard shortcuts,1
`history pushstate ` throws when original url contains basic auth credentials,1
add support for asynchronous clipboard api,1
allow externally connectable from all domains,1
sometimes localstorage not deleted completely,1
incognito content persisted in landscape app switch,1
add tests ensure webvr pose other state only exposed foreground application,1
screen sharing across multiple accounts,1
md settings incognito exceptions dont show up immediately,1
split cbd dialog on android into basic advanced view,1
ensure webvr controllers tracking are only exposed focused frame,1
regression exception added under clear on exit for incognito session remains options of list doesnt work,1
security cross origin pixel reading history sniffing via svg filter timing attack,1
camera permissions not working as intended,1
pdfium sends http s requests without prompting,1
conflicting ui when app permission turned off,1
let enterprise policy disable tab debugging warning,1
broken prefetch links can exfiltrate adjacent page text,1
reauthentication doesnt work if doesnt have contacts permission,1
android o one notification channel per origin,1
calling clear on camera contentsetting also clear microphone location settings,1
issues accessing permission notification with chromevox,1
vr disable asking for new permission,1
esc refresh power does not clean all data,1
tabs from other devices are lost after remote browser close,1
settings syncsetup under choose what sync missing 6 checkboxes,1
can edit location settings for http search engines,1
metrics for 3rd party cookie blocking only include user actions,1
federated credentials not displayed properly in md settings,1
clearbrowsingdatapreferencestest fails with strictmodediskreadviolation,1
incognito downloads home lives after closing all incognito tabs,1
visiting bookmarked pages in incognito leaves trace in favicon cache,1
regression text for clear browsing data button appears chopped on changing browser language french,1
clear browsing data button remains enable even if no checkbox selected,1
show all permissions in md per site settings view,1
update permission message for location uses message for multiple permissions,1
security sites client side code can record audiovideo without tab red dot visual alert,1
clean up privacy section,1
removed downloads are restored in downloads history page after browser restart,1
ambientlightsensor api devicelight events allow cross origin information leaks,1
history help page says doesnt store secure pages,1
page referrer data should only sent cws if safebrowsing preference enabled,1
consider exposing quic preconnections web request api,1
md settings editing exception with embeddingorigin removes embeddingorigin,1
show extension name in permission prompt instead of urls,1
plz allow multi login even when custom trust roots are configured via policy,1
ensure content settings work correctly on unicode hostnames,1
adapt clear site data related browsingdataremover work with network service,1
settings content notifications does not allow delete items,1
change calls geolocationprovider userdidoptintolocationservices occur via mojo,1
split cbd dialog on desktop into basic advanced tabs,1
md settings dont allow you re mask google card,1
need permission warning for extension api system storage,1
progressdialog in cbd on android flashes when deletion very fast,1
enable tabsincbd flag for android,1
history entry deletions are not correctly respected while offline,1
cbd less than x used inside sentence in basic tab,1
cookies local data page slow freezes,1
vertical scrollbar seen missing in clear browsing data overlay of md settings,1
add metrics actions for new cbd dialog on android,1
roaming profiles not save session across pcs,1
cancel button appears chopped on changing browser language french on settings clearbrowserdata,1
do not store urls in xattr,1
local storage deletion flaky,1
singlewebsitepreferences setuplistpreference treats all content settings arent allow as block,1
get help link usb permission opens in other person instead of new tab,1
minor permissions are not listed in site settings on android,1
add ui element ask for logs collection permission,1
media engagement index should clear data w history,1
allow permission requiring features in vr if permission already granted,1
remove total from ready pay,1
implement sound content settings block sound output from website,1
navigation urls with fragment can lead cached favicons never expire,1
javascript add site exception only present when javascript blocked by default,1
database storage not cleared on exit with keep local data only until you quit your browser setting,1
regression cookie name not seen in site details page of md settings,1
dont speculatively start search service workers if search suggestions are disabled,1
list of cookies cached between visits settings content cookies,1
nothing happens after clicking on delete icon of usage in site detail page,1
security permission changes in guest mode persist for next guest session,1
inbound links open in incognito session unmasking users,1
website thumbnail screenshot access even after all private data deleted,1
microphone in use indicator does not appear in vr,1
geolocation in use indicator does not appear in vr,1
adding content setting with pattern fails with dcheck,1
clearbrowsingdata timeperiodchanged action logged incorrectly on first visit cbd dialog,1
dcheck failed when turning of sync after using clear browsing data,1
same copied link not displayed in suggestions as link you copied after clearing browsing data,1
