Text,Classification
fix priv getprivatetransaction return fix priv getprivatetransaction return value,0
ftr data tied authenticated user when user has been authenticated with firebase service need ensure only users data presented privacy feature,1
platform obligated comply with gdpr regulations which are related privacy matters in europe as result may decide incorporate accept cookies or delete account button,1
privatetransactionreceipt tostring prints misleading info privatetransactionreceipt tostring missing info eg ``` expecting equal when recursively comparing field by field but found following difference ``` eg field from tostring implemented on superclass transactionreceipt but privatetransactionreceipt also has private final string from,1
report issue switches normal tab even with pb only enabled description report issue switches normal tab even with pb only enabled issue originally reported on community steps reproduce 1 enable pb mode only from settings 2 open settings go report issue 3 normal tab opened cant open tab container have exit pb mode actually see normal tab where community page opened actual result report issue always switches normal tab even with pb only enabled expected result if report issue triggered via pb then should opened in pt only reproduces how often easily reproduced intermittent issue easy brave version all device details all website problems only did you check with brave shields down did you check in safari firefox wkwebview based browsers additional information,1
two adds in block pr adds acceptance test tests adding members two privacy groups within one block,0
data should not persisted nan,0
concurrent private transactions fail processed steps reproduce bug 1 using web3js eea submit two private transactions in rapid succession with incrementing private tx nonce expected behavior transactions are processed in submitted order according private transaction nonce actual behavior transactions fail processed typically one fail in web3j eea polling for transaction receipt times out frequency majority of time versions add all apply software version besu 1 4 2 snapshot orion 1 5 0 web3js eea latest additional information besu running with fixed signing key issue relates privacy marker transaction nonce which ultimately determines order of transactions privacy marker transaction can get duplicate nonces or even out of order with respect private transaction nonce i adding some logging for generated privacy marker transaction nonce see for example two requests using same nonce 2020 03 25 08 41 42 570+00 00 | vert x worker thread 16 | debug | eeasendrawtransaction | privacy marker transaction nonce 7755 2020 03 25 08 41 42 570+00 00 | vert x worker thread 17 | debug | eeasendrawtransaction | privacy marker transaction nonce 7755 where privacy marker transaction nonce out of order with respect private transaction nonce see following in logs 2020 03 25 10 22 00 034+00 00 | pool 10 thread 1 | error | privacyprecompiledcontract | failed process private transaction 0xa53b8b21ea7799b3897924e3cb13f4fe40b3afcf23ca437179f18e468b28eade private transaction nonce 50 does not match sender account nonce 49,0
minimum data retention period of none does not work correctly these are data retention settings i am using screenshot 2018 05 18 07 33 06 since minimum data retention period none all data should removed nothing should retained as retained fields only apply data removed within data retention period when i erase data of particular donor city field kept while everything else correctly erased,1
implement social media blocking on ios similar desktop we should have options enable social media blocking on ios img width= 731 alt= screen shot 2019 06 27 at 10 17 01 am src=,0
"move mod common php src part 3 add modulecontactcontacts class part of 8918 part of 4090 follow up 8975 one stone kills two birds ive added contacts same contacts display we were using for local profiles with relationship filter which makes both `mod common` `moduleallfriends` modules obsolete ive developed feature on system didnt have any contact discovery enabled so as with 8975 please tell me whether or not works on your system pr also fixes potential privacy security issue where session wasnt actually destroyed on logout √ó†√""¬ü√´¬ú√""¬®",0
discussion private genesis state description as user of unrestricted privacy i want able specify initial genesis state for private transactions there are couple of options on how implement 1 separate private genesis config e g `private genesis json` 2 add option into genesis config e g ```json alloc 0x0ffd23af8eebc60b3cfdeed6f814988757237314 private true code 0x6080 ```,0
ivpn app seeks connect devices on your local network as indicated by new privacy alert in ios 14 whenever newly installed app tries interact with local network alert triggered therefore necessary investigate which part of apps logic triggers alert once identified issue can resolved in two ways firstly logic triggers privacy alert can removed if possible secondly custom description may added info plist file explain why ivnp app requires access local network instead of ios displaying default alert text,1
export personal data from release plan spreadsheet estimate from release plan tbd expressing interest none export report detailing what does dspace store about account individuals can export their own report or admins can export report of any user information may include eperson contact info groups eperson member of including via group2group membership permissions in repository via groups or resource policy documents created both archived in progress documents under review from other users could claim for review subscribed collections provenance fields including user email or netid,1
q startoperation was called more than once error message in console running git cola shows error in console ``` qnetworkreplyhttpimplprivate q startoperation was called more than once qurl ``` expected behavior would avoid warning perhaps also question why one would need download avatar every time instead of packaging are you tracking installations version ``` git cola version 3 0 linux 4 15 0 45 generic x86 64 with ubuntu 18 04 bionic python usr bin python3 3 6 7 default oct 22 2018 11 32 17 gcc 8 2 0 git 2 17 1 qt 5 12 1 qtpy 1 3 1 pyqt5 5 12 ``` running in virtualbox 6 x,0
priv call pr description fixed issue s,0
unable add email address hs account without set at moment standard for homeserver require identity server passed as part of adding email your hs account changing for future synapse versions as they learn manage email themselves but for moment still current state riot web on develop at moment assumes weve already made ideal world creating following problem 1 disconnect from your in settings 2 try add email your hs account 3 hs returns 400 error demanding passed can reproduced on termstest environment,0
research tor network capability for wallet research what can done on client side mask users public data such as ip address ideally we want all network requests in app go through tor network report in comments in details post research,1
in settings consider moving telemetry crash reporting security privacy sub pane hardware all steps reproduce current behavior switches for telemetry crash reporting are currently at top level of settings expected behavior switches for telemetry see separate issue 752 about naming crash reporting which do not need toggled frequently should grouped under privacy security section of settings also consistent with firefox on other platforms possible solution move potentially move other options top level tiles context,0
bug description states when someone poked privately poke should only delivered account however not happening as being delivered acl default group of contacts instead without mentioning poked person seems source of problem reproduce issue one needs define default contact group for their postings in settings then starting poke someone while limiting audience private actual result poke posted default acl group while expected result have poke only distributed poked contact screenshots of friendica poke platform info for friendica 2020 12 devf are also available,1
when ending session such as through mobile application expected all data displayed should hidden including image previews however currently if image preview still open when threema web redirected welcome page remains open visible address issue has been suggested image previews hidden in cases where there navigation event as reported by rugk,1
mxrestclient move api its own mxrestclient currently makes calls hs av scanner servers we should split into different classes keep `mxrestclient` use hs cs api only new `mxidentityserverrestclient` or `mxisrestclient` class manage call api new `mxavscannerrestclient` but optional not blocking for moment then we also need new class `mxidentityserverservice` or stg proxy all calls `mxisrestclient` one goal manage access token introduced in api v2 task prerequisite for 2603,0
riot shouldnt try load integrations from integration manager unless user has accepted managers privacy policies,1
we have determine how answer inquiries related evidence source of private tracking data where tracking transactions are concealed in private information specifically we need figure out tracing approaches techniques which can enable us obtain information about provenance origin of tracking data identifying these techniques crucial in unlocking hidden information making available for verification purposes hence we need come up with most effective methods for answering queries about source authenticity of private tracking data,1
"private migration failing from pantheon 1 1 besu 1 4 from rc i believe ive identified edge case related private state migration seems if besu node cant detect schema version i e version = 0 besu still starts private database migration wont run migration only runs if schema version 1 migration flag set otherwise node wont start privatestroragemigrationservice java node im testing dates back pantheon 1 1 theres no database metadata json in database directory we need check what happening in case expected behaviour √ó¬í√""¬Ç¬",0
possible race condition in flexible privacy when sending private transaction using flexible privacy information about members of groups version of privacy group done with two seperate calls on chain management contract two calls are both made against chain head but if head changes in between two calls group membership has changed result would inconsistent fix we could make sure two calls are happening against same block less changes return version of group members from management contract in one call more changes incl management contracts but makes sure there cannot race condition,1
